name,cuisine,time,ingredients,instructions,calories,type,health_label,health_score,servings,picture
15 Minute Healthy Dark Chocolate Truffles,French,15,"15 dried dates, pitted|3/4 cups sliced or slivered almonds|1/2 cup pecans|1/4 cup plus 2 tablespoons cocoa powder|1 teaspoon vanilla extract|1 tablespoon agave nectar (or honey)|1/4 teaspoon sea salt|1 cup hot water|Optional: coconut flakes, sprinkles, cocoa powder, or crushed nuts for coating the truffles","Soak the dates in hot water while you get the rest of the ingredients and start on step 2 (about 5 minutes). The water should be hot to the touch but not hot enough to burn you.|Process the almonds in a food processor until coarse almond meal is formed.|Add the pecans and process until they are ground up into a coarse meal as well.|Drain the dates and use your hand to squeeze out excess water.|Add the drained dates, cocoa powder, vanilla extract, agave nectar, and salt to the food processor. Process until a smooth paste forms.|Use a tablespoon measure to help you form the truffles. Pack a heaping tablespoon of the mixture into the tablespoon measure  really pack it in there. Use your fingers to slide the half-rounded ball out of the tablespoon measure, and then use your hands to form a tightly packed ball of truffle goodness. Be gentle with them  I found that they fall apart if you try to roll them into balls. It is best to squish them with your hand into perfect little spheres.|Form truffles until you use up all the mixture. The last bit that was not enough for a truffle went straight into my mouth. :)|If you choose to, gently roll the truffles in the toppings of your choice. I had some turtle crunch sprinkles, unsweetened coconut flakes, and extra cocoa powder. The cocoa powder definitely gives the the truffles an extra dark chocolate kick, so if you dont like the bitterness of the cocoa powder then dont use that as a topping.",169,side dish,gluten free|dairy free|lacto ovo vegetarian|vegan,4,12,https://spoonacular.com/recipeImages/631841-556x370.jpg
5 Minute Gluten Free Wonder Buns,American,5,"1 tablespoon almond meal|1/2 teaspoon baking powder|1/2 teaspoon cocoa powder|1 large egg|1 tablespoon ground flax seed|3/4 teaspoon molasses|a pinch of salt, optional|Sesame seeds|2 tablespoons sorghum flour","In  a small bowl, beat the egg and molasses.In another small bowl, add the flour, almond meal, ground flax seed, baking powder, and cocoa powder. Make sure it is thoroughly mixed so you do not end up with little balls of cocoa or bitter baking soda.|Add the eggs to the dry ingredients, stir until smooth.Oil a 10 oz Pyrex custard cup and sprinkle sesame seeds on the bottom and sides.|Pour the batter into the cup. Top with more sesame seeds.Microwave for 90 seconds.That is it! A ready to eat, tasty bun. A wonder bun!",266,,gluten free|dairy free|lacto ovo vegetarian,7,1,https://spoonacular.com/recipeImages/631874-556x370.jpg
5 Minute Xocai Chocolate Mug Cake,Indian,5,"3 tbsps dark chocolate (Xocai Sipping Xocolate (optional))|2 eggs, we like Egglands Best eggs|4 tbsps flour|3 tbsps honey|3 tbsps milk|1/8 tsp vanilla","Add egg, milk, oil, honey, and vanilla into a coffee mug.|Mix together wit a fork. add the flour, Activ, and Sipping Xocolate.|Mix again. Put mug in the microwave and cook for 3 minutes at high power. the cake will rise slightly over the top of the mug. Allow to cool a little. Tip out onto a plate if desired. Eat while warm.|Serves 2",362,dessert,lacto ovo vegetarian,4,2,https://spoonacular.com/recipeImages/631879-556x370.jpg
5-Minute Blueberry Chia Jam,Italian,5,"2 cups blueberries (fresh or thawed) (about 270 g)|2 tbsp chia seeds|1 tbsp honey/maple syrup|Water, just enough to be able to blend (I used about ¼ cup/60 ml)","Add all of the ingredients to your blender with enough water to allow it to blend, and blend.|Pour the jam into a glass jar or similar. Store in the fridge. It should last for around 4-5 days.",81,condiment|dip|spread,gluten free|dairy free|paleolithic|lacto ovo vegetarian|primal|fodmap friendly|vegan,1,4,https://spoonacular.com/recipeImages/631880-556x370.jpg
Almond and cranberry shortbread,Mediterranean,45,"170 g butter, softened, cut into smaller pieces|125 g icing sugar|2 egg yolks|2 tsp lemon juice|190 g flour|110 g almonds, finely ground|110 g cranberries, dried|A handful of blanched almonds and / or pistachios, coarsely chopped","Cream the butter for about 5 minutes until fluffy.|Add powdered sugar, continue beating until the mixture is shiny and smooth.|Add the yolks and lemon juice and whisk until fully incorporated.|Mix flour and almonds and gradually add to the butter mixture.|Mix until the doug has consistency of a thick paste. Do not overmix (too much mixing makes the cookies hard).|Add dried cranberries by kneading by hand.|Divide the dough into two equal parts, shape each part into a 20-22 cm long roll.|Roll each of the rolls in chopped almonds and/ or pistachios sprinkled over two aluminum sheets long enough to wrap the roll of dough. With fingers lightly press the roll towards the center to remove any air bubbles or cracks from the dough.|Wrap each roll in foil, twist the ends and place in the refrigerator for several hours, preferably overnight.|Remove foil from a roll of dough (keep the other cool until use) and place on a cutting board. With a large, sharp knife cut the roll  into 5-6 mm wide slices.|Place the slices well apart, on a baking sheet covered with parchment paper.|Bake the cookies in the oven preheated to 180C for about 12 min (be careful not to burn them).|Let them cool on the sheet for about 5 minutes, then transfer to a rack or a plate to cool fully. Repeat with the second roll of dough.|Store the cookies in an airtight container.",582,dessert,lacto ovo vegetarian,2,10,https://spoonacular.com/recipeImages/632091-556x370.jpg
Almond Butter and Chocolate Squares,American,45,"1/2 cup vegan butter (1 stick), melted|2 cups powdered sugar (try Swerve all natural, no calorie powdered sugar – perfect for diabetics!)|1 1/2 cups vegan graham cracker crumbs or vegan vanilla cookie crumbs|1 cup almond butter (you can use peanut butter too if you prefer)|12 ounces vegan dark chocolate","Stir the melted butter, powdered sugar, graham cracker/vanilla crumbs, and almond butter together, until all of the ingredients are incorporated.|Line a 9 x 13 inch dish with foil. Drape the foil over the sides of the dish so that you can easily remove it once the bars set. Press the mixture into the bottom of the dish.|Melt the vegan chocolate in a double boiler and spread the chocolate over the almond butter mixture.|While the chocolate is still warm, cut the bars. Allow to set for at least an hour.",366,condiment|dip|spread,lacto ovo vegetarian,3,16,https://spoonacular.com/recipeImages/632101-556x370.jpg
Almond Horns,British,45,3 tablespoons almond extract|8 cups Finely chopped blanched almonds|6 Egg whites|1 1/2 cups sugar,"(*) To blanch almonds, dip almonds into boiling water for 1 minute.|Remove the brown skin covering. Dry in a 200 F oven for 30-45 minutes, stirring occasionally. Use a food processor to chop them to the finest size possible. (A 2-pound bag of almonds is what youll need for this recipe).Preheat oven to 300 F.|Combine all of the ingredients thoroughly. Form into desired shapes and sizes (we usually form them into crescents) and bake on greased and floured cookie sheets.|Bake for 20-30 minutes depending on thickness of cookie. (In my oven, it takes about 24 minutes).NOTES :This recipe is a double recipe. These are one of my favorite cookies-I just LOVE almonds!",7261,lunch|main course|main dish|dinner,gluten free|dairy free|lacto ovo vegetarian|fodmap friendly,74,1,https://spoonacular.com/recipeImages/632140-556x370.jpg
Ancient Grains Bread,Mediterranean,45,1 package instant yeast|2 1/4 cups flour|1 cup whole wheat flour|cup rye flakes|3 tablespoons ground flaxseed|3 tablespoons amaranth grain|cup quinoa|1/4 cup soy flour|1 1/2 tablespoons vital wheat gluten|cup skim milk powder|1/2 teaspoon salt|cups warm water|1/4 cup honey,"In a large bowl or stand mixer, whisk together yeast, flours, rye flakes, flaxseed, amaranth, quinoa, soy flour, wheat gluten, skim milk powder and salt.|Stir in warm water and honey, mixing thoroughly to form a cohesive, fairly firm (but workable) dough.|Turn out onto a floured board or knead with the dough hook for 12 minutes, until very elastic and smooth.|Place into a bowl, cover and allow to rest 30 minutes.|Roll rested dough into a log shape and tuck into a greased loaf pan.|Cover with a clean towel and allow to rise 50-60 minutes.|Preheat oven to 350F.|Slash the top of the loaf 2-3 times with a sharp knife or lame.|Bake 40 minutes. Turn out of pan immediately and cool on a rack before slicing",287,bread,lacto ovo vegetarian,74,14,https://spoonacular.com/recipeImages/632347-556x370.jpg
Apple Brown Betty,American,45,"3 cups apples (4 large), pared and thinly sliced|10 cups apples, peeled, cored and diced|2 cups cubed homemade bread (no crusts)|3/4 stick butter, melted|2 tablespoons melted butter|2 tablespoons butter, in small dots|1/4 teaspoon cinnamon|1 1/2 teaspoons cinnamon|1 lemon, grated rind and juice of|1/4 teaspoon nutmeg|1/2 teaspoon nutmeg|1 cup white sugar","Put a layer of cubed bread in buttered souffle dish that will hold 1-1/2 quarts.|Mix apples, sugar and spices. Cover bread with a layer of apples.Dot with butter; add a little lemon juice and rind. Repeat layers, ending in bread cubes, until dish is well-heaped. Cover and bake in a preheated 375-degree oven for 30 minutes. Uncover and bake until apples are tender and crust golden brown, about 30 more minutes.",657,side dish,lacto ovo vegetarian,5,6,https://spoonacular.com/recipeImages/632481-556x370.jpg
Apple Pie Bars,American,75,"3 large McIntosh apples, peeled, cored and finely chopped|2 teaspoons baking powder|1 teaspoon baking soda|6 ounces (½ a 12-ounce package) butterscotch chips|2 eggs|2 cups flour|1 teaspoon ground cinnamon|1 teaspoon ground nutmeg|1/2 teaspoon salt|1 cup sugar|1 cup vegetable oil","Preheat the oven to 350 degrees F.  Spray a 9 by 13 inch baking dish with cooking spray.In the bowl of an electric mixer, thoroughly combine the oil, eggs, and sugar.  Sift the flour, baking powder, salt, soda, and spices together in a bowl, then add to the oil mixture in the mixer, beating until thoroughly mixed.  The batter will be thick.Use a sturdy spoon to stir in the apple pieces.  Scrape the mixture into the prepared pan, spreading it out evenly.|Sprinkle the butterscotch chips over the top, pressing them into the batter lightly.|Bake for 45 minutes to 1 hour, until golden and pulling away from the sides of the pan slightly.Cool thoroughly and cut into squares.",134,dessert,dairy free,0,24,https://spoonacular.com/recipeImages/632573-556x370.jpg
